,job_id,Ca,H,Mg,O,job_name,energy,ave_energy,std_energy,surface_area
0,21817241,2.0,128,58,64,Mg_1Ca_water_symm4,"[-1002.35676966 -1002.9086674  -1002.42798032 ... -1002.28822079
 -1002.31612609 -1002.52593843]",-1002.2203950974098,0.408832631670724,108.01922918587405
1,21817249,8.0,128,52,64,Mg_1_3Ca_water6,"[-1006.1750811  -1006.77871191 -1006.61747312 ... -1006.44191875
 -1006.29150641 -1006.23861726]",-1005.8679694595631,0.44217235063399013,108.01922918587405
2,21818205,0.0,128,60,64,Mg_water5,"[ -999.1430256   -999.59804075  -998.94847558 ... -1000.24140319
 -1000.06590927  -999.97428245]",-999.8211360247137,0.524396088796573,108.01922918587405
