,job_id,H,Mg,O,job_name,energy,ave_energy,std_energy,surface_area
0,21818199,124,60,64,Mg_water_1_6_OHsymm4,"[-989.62240371 -990.12828298 -990.1859441  ... -989.96586547 -989.93994932
 -989.89290225]",-989.8781061361153,0.44812532277586287,108.01922918587405
1,21818200,132,60,64,Mg_water_1_6_Hsymm5,"[-1011.98180985 -1012.64312756 -1012.12130306 ... -1011.47276377
 -1011.42682813 -1011.56747874]",-1012.1132816883169,0.4290216945328375,108.01922918587405
2,21818201,120,60,64,Mg_water_1_3_OHsymm4,"[-981.02756652 -981.69529115 -981.5262097  ... -979.83564541 -980.07852857
 -980.10732237]",-980.5306570353889,0.6196709633235814,108.01922918587405
3,21818202,136,60,64,Mg_water_1_3_Hsymm6,"[-1025.58917688 -1026.35719587 -1026.09833111 ... -1025.36944247
 -1025.3170539  -1025.35699799]",-1025.181048608389,0.4794169121844906,108.01922918587405
4,21818205,128,60,64,Mg_water5,"[ -999.1430256   -999.59804075  -998.94847558 ... -1000.24140319
 -1000.06590927  -999.97428245]",-999.8211360247137,0.524396088796573,108.01922918587405
